"","int.name","species","Lake","Month","Year","angler.type","trip.type","length","type","length.cm","length.cat","length.cat2","CPUE","type.2","cat","speciesn"
"19","2740.2010-05-21.129","Bluegill","Merritt","May","2010","2","1",200,"release",20,"200",20,0.0700934579439252,0,"Q","generic"
"22","2740.2010-05-21.142","Bluegill","Merritt","May","2010","2","1",255,"release",26,"255",26,0.125,0,"Q","generic"
"34","2740.2010-05-26.174","Bluegill","Merritt","May","2010","2","1",175,"release",18,"175",18,0.0795755968169761,0,"Q","generic"
"55","2740.2010-05-27.192","Bluegill","Merritt","May","2010","2","1",175,"release",18,"175",18,0.117647058823529,0,"Q","generic"
"56","2740.2010-05-27.192","Bluegill","Merritt","May","2010","2","1",150,"release",15,"150",15,0.117647058823529,0,"Q","generic"
"57","2740.2010-05-28.206","Bluegill","Merritt","May","2010","2","1",185,"harvest",18,"200",18,0.215827338129496,1,"Q","generic"
"58","2740.2010-05-28.206","Bluegill","Merritt","May","2010","2","1",205,"harvest",20,"230",20,0.215827338129496,1,"Q","generic"
"59","2740.2010-05-28.206","Bluegill","Merritt","May","2010","2","1",203,"harvest",20,"230",20,0.215827338129496,1,"Q","generic"
"63","2740.2010-05-29.220","Bluegill","Merritt","May","2010","2","1",175,"release",18,"175",18,0.0306748466257669,0,"Q","generic"
"68","2740.2010-05-29.228","Bluegill","Merritt","May","2010","2","1",200,"release",20,"200",20,0.0776699029126214,0,"Q","generic"
"69","2740.2010-05-29.228","Bluegill","Merritt","May","2010","2","1",200,"release",20,"200",20,0.0776699029126214,0,"Q","generic"
"78","2740.2010-05-30.237","Bluegill","Merritt","May","2010","2","1",230,"release",23,"230",23,0.142857142857143,0,"Q","generic"
"88","2740.2010-06-02.249","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0833333333333333,0,"Q","generic"
"89","2740.2010-06-02.249","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0833333333333333,0,"Q","generic"
"93","2740.2010-06-02.254","Bluegill","Merritt","Jun","2010","2","1",185,"harvest",18,"200",18,0.0857142857142857,1,"Q","generic"
"95","2740.2010-06-02.258","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0360576923076923,0,"Q","generic"
"108","2740.2010-06-03.263","Bluegill","Merritt","Jun","2010","2","1",184,"harvest",18,"200",18,0.144578313253012,1,"Q","generic"
"109","2740.2010-06-03.263","Bluegill","Merritt","Jun","2010","2","1",159,"harvest",16,"175",16,0.144578313253012,1,"Q","generic"
"110","2740.2010-06-03.265","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.496551724137931,0,"Q","generic"
"111","2740.2010-06-03.265","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.496551724137931,0,"Q","generic"
